Title,Semester,Description,Skills,URL
Dodo Alive! - Resurrecting the Dodo with Robotics and AI,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950840402
Biochemie reaktiver Sauerstoffspezies und freier Radikale,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950877556
Instationäre hygrothermische Berechnungsverfahren,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950841592
"A Different Kind of Game Jam! Reflecting Science, Technology and Society through Game Design",2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950884493
"A Google-Earth Perspective on Nutrition, Health and Sustainability",2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950873589
A Hands-On Workshop on Cloud Security by Spike Reply,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950874175
A MOOC-supported compact introduction to the Economics of the Agro-food Value Chains,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950841675
A Practical Course in Numerical Methods for Engineers,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950839572
Abenteuer Kreativität. Methoden zur Ideenfindung und Problemlösung,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950838171
Abschlussarbeitskolloquium,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950837693
Abschlussarbeitskolloquium/Colloquium for Final Theses,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950841530
Abschlussarbeitsthemen in der Experimentellen Astroteilchenphysik,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950840076
Abschlusskolloquium Bewegungswissenschaft,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950839233
Abwehrender Brandschutz,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950877506
Academic Prompt Engineering and Management,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950877071
Academic Skills,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950838232
Academic Writing Skills,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950840998
Accessibility Planning,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950840213
Accounting - Lecture,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950841524
Accounting and Value-Based Management,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950876378
Active Distribution Grids,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950838188
Active Learning,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950838175
Actuarial Risk Theory,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950876863
Adaptive and Array Signal Processing,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950837986
Additive Fertigung im Bauwesen - Materialien und Prozesse,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950841781
Additive Fertigung im Bauwesen 1,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950876621
Additive Fertigung in der Gießereitechnik,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950840481
Additive Fertigung mit Kunststoffen Vorlesung,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950839654
Additive Manufacturing for Sustainability,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950849219
Admin-EventVision,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950884766
Advance Flight Control Systems,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950876797
Advanced Algorithms,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950841487
Advanced Analysis of Variance Procedures,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950875407
Advanced Concepts of Programming Languages,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950841795
Advanced Control - Lecture -,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950837364
Advanced Corporate Finance (FIM) - Lecture,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950840730
Advanced Course on 3D Computational Modelling for Biomedical Applications,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950873665
Advanced Deep Learning for Computer Vision,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950839984
Advanced Deep Learning for Robotics,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950874174
Advanced Development Economics,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950839204
Advanced Earth System Modelling,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950875151
Advanced Econometrics,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950842083
Advanced Electrochemistry,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950839355
Advanced Electronic Spectroscopy,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950876274
Advanced Electronic Structure,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950839564
Advanced Empirical Research Methods,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950838447
Advanced Environmental and Natural Resource Economics,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950837071
Advanced Fluid Mechanics,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950837801
Advanced GIS for Environmental Engineering,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950836517
Advanced International Excursion,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950841315
Advanced International Experience,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950839436
Advanced International Study Trip,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950877523
Advanced Manufacturing,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950874162
